cell,row,col,elevation,slope,river_dist,imperv,rainfall,flood_depth,depth_lag,elev_lag,pred_depth,priority_rank,admin
26,1,11,34.6903,0.6413,4.0,0.3314,84.7069,6.9191,11.8624,34.0491,7.3798,261,4
150,10,0,48.0287,4.4433,7.0,0.4443,122.5916,3.9892,6.7306,43.5854,7.361,262,0
240,16,0,42.7602,1.6911,7.0,0.2576,149.7405,8.504,5.0922,44.4513,7.3566,263,0
46,3,1,50.2791,2.9543,6.0,0.4091,111.9221,7.157,6.377,47.3247,7.2606,264,0
165,11,0,44.2423,2.8797,7.0,0.405,110.2311,6.0313,6.0367,47.1219,7.2434,265,0
1,0,1,40.3375,5.0892,6.0,0.2959,96.3797,6.7597,10.6508,45.4267,7.2157,266,0
283,18,13,43.4236,2.7397,6.0,0.3513,109.6242,8.0242,8.2671,40.6839,6.9978,267,5
297,19,12,36.5923,0.0332,5.0,0.5975,115.6015,6.6991,7.6847,36.6255,6.9598,268,4
255,17,0,48.8984,5.3896,7.0,0.4232,136.6119,6.8276,5.4382,43.5089,6.9107,269,0
74,4,14,54.7444,0.6936,7.0,0.5265,96.1865,5.816,7.5946,54.0508,6.7586,270,5
287,19,2,37.8655,0.8324,5.0,0.3995,134.0493,7.7458,7.5402,37.0331,6.7536,271,0
162,10,12,42.89,7.5047,5.0,0.3093,110.4201,5.5128,10.3849,35.3852,6.6666,272,4
273,18,3,36.3398,5.4535,4.0,0.412,134.504,4.3347,7.5375,30.8863,6.5224,273,1
239,15,14,43.0745,1.4529,7.0,0.3656,108.8125,6.2997,7.4742,41.6215,6.4963,274,5
62,4,2,42.8054,0.1469,5.0,0.62,100.2806,6.0858,5.3775,42.6585,6.4565,275,0
90,6,0,56.0001,3.7764,7.0,0.1828,117.0126,6.9122,9.6879,52.2236,6.4254,276,0
242,16,2,28.1176,5.3396,5.0,0.5297,145.5295,4.6687,7.4878,33.4572,6.4213,277,0
133,8,13,45.0771,1.9778,6.0,0.2603,97.4986,6.0769,7.2661,47.0549,6.383,278,5
123,8,3,37.8213,1.2214,4.0,0.3423,102.0269,7.2882,7.2829,36.6,6.222,279,1
124,8,4,30.2491,0.3913,3.0,0.4334,105.1169,2.9117,10.4339,29.8578,6.2215,280,1
164,10,14,51.02,4.859,7.0,0.3259,104.2263,5.2891,9.8414,46.161,6.2021,281,5
163,10,13,40.0404,5.4261,6.0,0.2312,108.0953,6.8435,6.3476,45.4665,6.1946,282,5
28,1,13,46.3316,0.3335,6.0,0.3394,76.6753,5.7749,8.8555,46.6651,5.9781,283,5
135,9,0,47.1163,0.1522,7.0,0.3874,121.765,6.5336,7.1526,47.2685,5.9444,284,0
48,3,3,37.7015,2.1048,4.0,0.3302,105.3151,6.087,5.3127,35.5967,5.9005,285,1
285,19,0,48.2935,3.096,7.0,0.6997,142.8113,5.6266,3.2458,45.1974,5.8062,286,0
63,4,3,38.0758,0.2586,4.0,0.393,103.2613,6.2852,6.7936,37.8172,5.7514,287,1
286,19,1,44.4992,1.443,6.0,0.3388,148.9596,4.6232,5.1806,43.0563,5.6867,288,0
256,17,1,41.8707,0.7572,6.0,0.3896,137.6927,5.9419,4.8737,41.1136,5.603,289,0
258,17,3,28.165,0.3627,4.0,0.3707,116.5043,2.0929,9.1437,27.8023,5.2674,290,1
238,15,13,35.4756,1.2467,6.0,0.1927,127.6991,4.2187,8.1445,36.7222,5.2173,291,5
77,5,2,42.9101,0.6593,5.0,0.2596,112.8615,4.5319,8.9564,42.2508,5.003,292,0
89,5,14,55.7741,3.8327,7.0,0.2905,88.1018,4.0867,7.2683,51.9414,4.9478,293,5
49,3,4,29.8675,1.4029,3.0,0.7171,99.3763,1.7554,8.1108,31.2704,4.8661,294,1
45,3,0,54.3208,1.4802,7.0,0.2124,107.364,4.3199,9.3152,52.8406,4.8329,295,0
241,16,1,39.108,0.6329,6.0,0.3809,133.2846,1.131,8.1734,39.7409,4.282,296,0
299,19,14,50.692,9.1086,7.0,0.247,107.2149,3.1783,9.4527,41.5835,4.1984,297,5
271,18,1,43.0098,1.0013,6.0,0.4718,128.9369,2.1693,5.0069,42.0085,3.6416,298,0
47,3,2,42.3356,0.1141,5.0,0.5709,91.6546,1.5814,7.3127,42.4496,3.3376,299,0
270,18,0,45.8957,0.8382,7.0,0.2862,140.7309,1.8685,4.8745,46.7339,2.7132,300,0
